0,Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year
317,Diabetic Retinopathy Debrecen Data Set,Multivariate,Classification,"Integer, Real",1151,20,2014
318,HIV-1 protease cleavage,Multivariate,Classification,Categorical,6590,1,2015
319,Sentiment Labelled Sentences,Text,Classification,,3000,,2015
320,Online News Popularity,Multivariate,"Classification, Regression","Integer, Real",39797,61,2015
321,Forest type mapping,Multivariate,Classification,,326,27,2015
322,wiki4HE,Multivariate,"Regression, Clustering, Causal-Discovery",,913,53,2015
323,Online Video Characteristics and Transcoding Time Dataset,Multivariate,Regression,"Integer, Real",168286,11,2015
324,Chronic_Kidney_Disease,Multivariate,Classification,Real,400,25,2015
325,Machine Learning based ZZAlpha Ltd. Stock Recommendations 2012-2014,"Sequential, Time-Series",Classification,Real,314080,0,2015
326,Folio,Multivariate,"Classification, Clustering",,637,20,2015
327,"Taxi Service Trajectory - Prediction Challenge, ECML PKDD 2015","Multivariate, Sequential, Time-Series, Domain-Theory","Clustering, Causal-Discovery",Real,1710671,9,2015
328,Cuff-Less Blood Pressure Estimation,Multivariate,"Classification, Regression",Real,12000,3,2015
329,Smartphone-Based Recognition of Human Activities and Postural Transitions,"Multivariate, Time-Series",Classification,Real,10929,561,2015
330,Mice Protein Expression,Multivariate,"Classification, Clustering",Real,1080,82,2015
331,UJIIndoorLoc-Mag,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering","Integer, Real",40000,13,2015
332,Heterogeneity Activity Recognition,"Multivariate, Time-Series","Classification, Clustering",Real,43930257,16,2015
333,Educational Process Mining (EPM): A Learning Analytics Data Set,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering",Integer,230318,13,2015
334,HEPMASS,Multivariate,Classification,Real,10500000,28,2016
335,Indoor User Movement Prediction from RSS data,"Multivariate, Sequential, Time-Series",Classification,Real,13197,4,2016
336,Open University Learning Analytics dataset,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering",Integer,,,2015
337,default of credit card clients,Multivariate,Classification,"Integer, Real",30000,24,2016
338,Mesotheliomaâs disease data set,Multivariate,Classification,Real,324,34,2016
339,Online Retail,"Multivariate, Sequential, Time-Series","Classification, Clustering","Integer, Real",541909,8,2015
340,SIFT10M,Multivariate,Causal-Discovery,Integer,11164866,128,2016
341,GPS Trajectories,Multivariate,"Classification, Regression",Real,163,15,2016
342,Detect Malacious Executable(AntiVirus),Multivariate,Classification,Real,373,513,2016
343,Occupancy Detection,"Multivariate, Time-Series",Classification,Real,20560,7,2016
344,Improved Spiral Test Using Digitized Graphics Tablet for Monitoring Parkinsonâs Disease,Multivariate,"Classification, Regression, Clustering",Real,40,7,2016
345,News Aggregator,Multivariate,"Classification, Clustering",,422937,5,2016
346,Air Quality,"Multivariate, Time-Series",Regression,Real,9358,15,2016
347,Twin gas sensor arrays,"Multivariate, Time-Series, Domain-Theory","Classification, Regression",Real,640,480000,2016
348,Gas sensors for home activity monitoring,"Multivariate, Time-Series",Classification,Real,919438,11,2016
349,Facebook Comment Volume Dataset,Multivariate,Regression,"Integer, Real",40949,54,2016
350,Smartphone Dataset for Human Activity Recognition (HAR) in Ambient Assisted Living (AAL),Time-Series,Classification,Real,5744,561,2016
351,Polish companies bankruptcy data,Multivariate,Classification,Real,10503,64,2016
352,Activity Recognition system based on Multisensor data fusion (AReM),"Multivariate, Sequential, Time-Series",Classification,Real,42240,6,2016
353,Dota2 Games Results,Multivariate,Classification,,102944,116,2016
354,Facebook metrics,Multivariate,Regression,Integer,500,19,2016
355,UbiqLog (smartphone lifelogging),Multivariate,Causal-Discovery,,9782222,,2016
356,NIPS Conference Papers 1987-2015,Text,Clustering,Integer,11463,5812,2016
357,HTRU2,Multivariate,"Classification, Clustering",Real,17898,9,2017
358,Drug consumption (quantified),Multivariate,Classification,Real,1885,32,2016
359,Appliances energy prediction,"Multivariate, Time-Series",Regression,Real,19735,29,2017
360,Miskolc IIS Hybrid IPS,Text,"Classification, Clustering, Causal-Discovery",Integer,1540,67,2016
361,KDC-4007 dataset Collection,"Multivariate, Text","Classification, Regression",Integer,4007,,2017
362,Geo-Magnetic field and WLAN dataset for indoor localisation from wristband and smartphone,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering","Integer, Real",153540,25,2017
363,DrivFace,Multivariate,"Classification, Regression, Clustering",Real,606,6400,2016
364,Website Phishing,Multivariate,Classification,Integer,1353,10,2016
365,YouTube Spam Collection,Text,Classification,,1956,5,2017
366,Beijing PM2.5 Data,"Multivariate, Time-Series",Regression,"Integer, Real",43824,13,2017
367,Cargo 2000 Freight Tracking and Tracing,"Multivariate, Sequential","Classification, Regression",Integer,3942,98,2016
368,Cervical cancer (Risk Factors),Multivariate,Classification,"Integer, Real",858,36,2017
369,Quality Assessment of Digital Colposcopies,Multivariate,Classification,Real,287,69,2017
370,KASANDR,Multivariate,Causal-Discovery,Integer,17764280,2158859,2017
371,FMA: A Dataset For Music Analysis,"Multivariate, Time-Series","Classification, Clustering",Real,106574,518,2017
372,Air quality,"Multivariate, Time-Series",Regression,Real,9358,15,2016
373,Epileptic Seizure Recognition,"Multivariate, Time-Series","Classification, Clustering","Integer, Real",11500,179,2017
374,Devanagari Handwritten Character Dataset,,Classification,Integer,92000,,2016
375,Stock portfolio performance,Multivariate,Regression,Real,315,12,2016
376,MoCap Hand Postures,Multivariate,"Classification, Clustering","Integer, Real",78095,38,2016
377,Early biomarkers of Parkinsons disease based on natural connected speech,Multivariate,"Classification, Regression","Integer, Real",130,65,2017
378,Data for Software Engineering Teamwork Assessment in Education Setting,"Sequential, Time-Series",Classification,"Integer, Real",74,102,2017
379,PM2.5 Data of Five Chinese Cities,"Multivariate, Time-Series",Regression,"Integer, Real",52854,86,2017
380,Parkinson Disease Spiral Drawings Using Digitized Graphics Tablet,Multivariate,"Classification, Regression, Clustering",Integer,77,7,2017
381,Sales_Transactions_Dataset_Weekly,"Multivariate, Time-Series",Clustering,"Integer, Real",811,53,2017
382,Las Vegas Strip,,"Classification, Regression",Integer,504,20,2017
383,Eco-hotel,Text,,,401,1,2017
384,MEU-Mobile KSD,Multivariate,Classification,"Integer, Real",2856,71,2016
385,Crowdsourced Mapping,Multivariate,Classification,,10546,29,2016
386,gene expression cancer RNA-Seq,Multivariate,"Classification, Clustering",Real,801,20531,2016
387,"Hybrid Indoor Positioning Dataset from WiFi RSSI, Bluetooth and magnetometer","Multivariate, Sequential, Time-Series",Classification,Real,1540,65,2016
388,chestnut â LARVIC,,"Classification, Clustering",,1451,3,2017
389,Burst Header Packet (BHP) flooding attack on Optical Burst Switching (OBS) Network,Text,Classification,Integer,1075,22,2017
390,Motion Capture Hand Postures,Multivariate,"Classification, Clustering",Real,78095,38,2017
391,Anuran Calls (MFCCs),Multivariate,"Classification, Clustering",Real,7195,22,2017
392,TTC-3600: Benchmark dataset for Turkish text categorization,Text,"Classification, Clustering",Integer,3600,4814,2017
393,Gastrointestinal Lesions in Regular Colonoscopy,Multivariate,Classification,Real,76,698,2016
394,Daily Demand Forecasting Orders,Time-Series,Regression,Integer,60,13,2017
395,Paper Reviews,Text,"Classification, Regression",Integer,405,10,2017
396,extention of Z-Alizadeh sani dataset,,Classification,"Integer, Real",303,59,2017
397,Z-Alizadeh Sani,,Classification,"Integer, Real",303,56,2017
398,Dynamic Features of VirusShare Executables,"Multivariate, Time-Series","Classification, Regression",Integer,107888,482,2017
399,IDA2016Challenge,Multivariate,Classification,Integer,76000,171,2017
400,DSRC Vehicle Communications,"Sequential, Text",Clustering,Real,10000,5,2017
401,Mturk User-Perceived Clusters over Images,"Multivariate, Text",Clustering,Integer,180,500,2016
402,Character Font Images,Multivariate,Classification,"Integer, Real",745000,411,2016
403,DeliciousMIL: A Data Set for Multi-Label Multi-Instance Learning with Instance Labels,Text,Classification,Integer,12234,8519,2016
404,Autistic Spectrum Disorder Screening Data for Children,Multivariate,Classification,Integer,292,21,2017
405,Autistic Spectrum Disorder Screening Data for Adolescent,Multivariate,Classification,Integer,104,21,2017
406,APS Failure at Scania Trucks,Multivariate,Classification,"Integer, Real",60000,171,2017
407,Wireless Indoor Localization,Multivariate,Classification,Real,2000,7,2017
408,HCC Survival,Multivariate,Classification,"Integer, Real",165,49,2017
409,CSM (Conventional and Social Media Movies) Dataset 2014 and 2015,Multivariate,"Classification, Regression",Integer,217,12,2017
410,University of Tehran Question Dataset 2016 (UTQD.2016),Text,Classification,,1175,3,2017
411,Autism Screening Adult,,Classification,Integer,704,21,2017
412,Activity recognition with healthy older people using a batteryless wearable sensor,Sequential,Classification,Real,75128,9,2016
413,Immunotherapy Dataset,Univariate,Classification,"Integer, Real",90,8,2018
414,Cryotherapy Dataset,Univariate,Classification,"Integer, Real",90,7,2018
415,OCT data & Color Fundus Images of Left & Right Eyes,Multivariate,Classification,Real,50,2,2016
416,Discrete Tone Image Dataset,Multivariate,Classification,,71,11,2018
417,News Popularity in Multiple Social Media Platforms,"Multivariate, Time-Series, Text",Regression,"Integer, Real",93239,11,2018
418,Ultrasonic flowmeter diagnostics,Multivariate,Classification,Real,540,173,2018
419,ICMLA 2014 Accepted Papers Data Set,Multivariate,"Classification, Clustering",,105,5,2018
420,BLE RSSI Dataset for Indoor localization and Navigation,"Multivariate, Sequential, Time-Series","Classification, Clustering",Integer,6611,15,2018
421,Container Crane Controller Data Set,"Univariate, Domain-Theory","Classification, Regression",Real,15,3,2018
422,Residential Building Data Set,Multivariate,Regression,Real,372,105,2018
423,Health News in Twitter,Text,Clustering,Real,58000,25000,2018
424,chipseq,Sequential,Classification,Integer,4960,,2018
425,SGEMM GPU kernel performance,Multivariate,Regression,Integer,241600,18,2018
426,Repeat Consumption Matrices,Multivariate,Clustering,Real,130000,21000,2018
427,detection_of_IoT_botnet_attacks_N_BaIoT,"Multivariate, Sequential","Classification, Clustering",Real,7062606,115,2018
428,Absenteeism at work,"Multivariate, Time-Series","Classification, Clustering","Integer, Real",740,21,2018
429,SCADI,Multivariate,"Classification, Clustering",,70,206,2018
430,Condition monitoring of hydraulic systems,"Multivariate, Time-Series","Classification, Regression",Real,2205,43680,2018
431,Carbon Nanotubes,Univariate,Regression,Real,10721,8,2018
432,Optical Interconnection Network,Multivariate,"Classification, Regression","Integer, Real",640,10,2018
433,Sports articles for objectivity analysis,"Multivariate, Text",Classification,Integer,1000,59,2018
434,Breast Cancer Coimbra,Multivariate,Classification,Integer,116,10,2018
435,GNFUV Unmanned Surface Vehicles Sensor Data,"Multivariate, Time-Series",Regression,Real,1672,5,2018
436,Dishonest Internet users Dataset,Multivariate,"Classification, Clustering",,322,5,2018
437,Victorian Era Authorship Attribution,Text,Classification,,93600,1000,2018
438,Simulated Falls and Daily Living Activities Data Set,Time-Series,Classification,Integer,3060,138,2018
439,Multimodal Damage Identification for Humanitarian Computing,"Multivariate, Text",Classification,Integer,5879,,2018
440,EEG Steady-State Visual Evoked Potential Signals,"Multivariate, Time-Series","Classification, Regression",Integer,9200,16,2018
441,Roman Urdu Data Set,Text,Classification,,20000,2,2018
442,Avila,Multivariate,Classification,Real,20867,10,2018
443,PANDOR,Multivariate,Recommendation,Categorical,,,2018
444,Drug Review Dataset (Druglib.com),"Multivariate, Text","Classification, Regression, Clustering",Integer,4143,8,2018
445,Drug Review Dataset (Drugs.com),"Multivariate, Text","Classification, Regression, Clustering",Integer,215063,6,2018
446,Physical Unclonable Functions,Multivariate,Classification,Integer,6000000,129,2018
447,Superconductivty Data,Multivariate,Regression,Real,21263,81,2018
448,WESAD (Wearable Stress and Affect Detection),"Multivariate, Time-Series","Classification, Regression",Real,63000000,12,2018
449,GNFUV Unmanned Surface Vehicles Sensor Data Set 2,"Multivariate, Sequential, Time-Series",Regression,Real,10190,6,2018
450,Student Academics Performance,Multivariate,Classification,,300,22,2018
451,Online Shoppers Purchasing Intention Dataset,Multivariate,"Classification, Clustering","Integer, Real",12330,18,2018
452,PMU-UD,Univariate,Classification,,5180,9,2018
453,Parkinson's Disease Classification,Multivariate,Classification,"Integer, Real",756,754,2018
454,Electrical Grid Stability Simulated Data,Multivariate,"Classification, Regression",Real,10000,14,2018
455,Caesarian Section Classification Dataset,Univariate,Classification,Integer,80,5,2018
456,BAUM-1,Time-Series,Classification,,1184,,2018
457,BAUM-2,Time-Series,Classification,,1047,,2018
458,Audit Data,Multivariate,Classification,Real,777,18,2018
459,BuddyMove Data Set,"Multivariate, Text","Classification, Clustering",Real,249,7,2018
460,Real estate valuation data set,Multivariate,Regression,"Integer, Real",414,7,2018
461,Early biomarkers of Parkinsonâs disease based on natural connected speech Data Set,Multivariate,Classification,Real,,,2018
462,Somerville Happiness Survey,,Classification,Integer,143,7,2018
463,2.4 GHZ Indoor Channel Measurements,Multivariate,Classification,Real,7840,5,2018
464,EMG data for gestures,Time-Series,Classification,Real,30000,6,2019
465,Parking Birmingham,"Multivariate, Univariate, Sequential, Time-Series","Classification, Regression, Clustering",Real,35717,4,2019
466,Behavior of the urban traffic of the city of Sao Paulo in Brazil,"Multivariate, Time-Series","Classification, Regression","Integer, Real",135,18,2018
467,Travel Reviews,"Multivariate, Text","Classification, Clustering",Real,980,11,2018
468,Tarvel Review Ratings,"Multivariate, Text","Classification, Clustering",Real,5456,25,2018
469,Rice Leaf Diseases,Multivariate,Classification,Integer,120,,2019
470,Gas sensor array temperature modulation,"Multivariate, Time-Series","Classification, Regression",Real,4095000,20,2019
471,Facebook Live Sellers in Thailand,Multivariate,Clustering,Integer,7051,12,2019
472,Parkinson Dataset with replicated acoustic features,Multivariate,Classification,,240,46,2019
473,Metro Interstate Traffic Volume,"Multivariate, Sequential, Time-Series",Regression,"Integer, Real",48204,9,2019
474,Query Analytics Workloads Dataset,Multivariate,"Regression, Clustering",Real,260000,8,2019
475,Wave Energy Converters,Multivariate,Regression,Real,288000,49,2019
476,PPG-DaLiA,"Multivariate, Time-Series",Regression,Real,8300000,11,2019
477,Alcohol QCM Sensor Dataset,Multivariate,"Classification, Regression, Clustering",Real,125,8,2019
478,Divorce Predictors data set,"Multivariate, Univariate",Classification,Integer,170,54,2019
479,Incident management process enriched event log,"Multivariate, Sequential","Regression, Clustering",Integer,141712,36,2019
480,Opinion Corpus for Lebanese Arabic Reviews (OCLAR),Text,Classification,Integer,3916,3916,2019
481,MEx,Time-Series,"Classification, Clustering",Real,6262,710,2019
482,Beijing Multi-Site Air-Quality Data,"Multivariate, Time-Series",Regression,"Integer, Real",420768,18,2019
483,Online Retail II,"Multivariate, Sequential, Time-Series, Text","Classification, Regression, Clustering","Integer, Real",1067371,8,2019
484,Hepatitis C Virus (HCV) for Egyptian patients,Multivariate,Classification,"Integer, Real",1385,29,2019
485,QSAR fish toxicity,Multivariate,Regression,Real,908,7,2019
486,QSAR aquatic toxicity,Multivariate,Regression,Real,546,9,2019
487,Human Activity Recognition from Continuous Ambient Sensor Data,"Multivariate, Sequential, Time-Series",Classification,"Integer, Real",13956534,37,2019
488,WISDM Smartphone and Smartwatch Activity and Biometrics Dataset,"Multivariate, Time-Series",Classification,Real,15630426,6,2019
489,QSAR oral toxicity,Multivariate,Classification,,8992,1024,2019
490,QSAR androgen receptor,Multivariate,Classification,,1687,1024,2019
491,QSAR Bioconcentration classes dataset,Multivariate,"Classification, Regression",,779,14,2019
492,QSAR fish bioconcentration factor (BCF),Multivariate,Regression,"Integer, Real",1056,7,2019
493,A study of Asian Religious and Biblical Texts,"Multivariate, Text","Classification, Clustering",Integer,590,8265,2019
494,Real-time Election Results: Portugal 2019,"Multivariate, Time-Series, Text",Regression,"Integer, Real",21643,29,2019
495,Bias correction of numerical prediction model temperature forecast,Multivariate,Regression,Real,7750,25,2020
496,Bar Crawl: Detecting Heavy Drinking,"Multivariate, Time-Series","Classification, Regression",Real,14057567,3,2020
497,Kitsune Network Attack Dataset,"Multivariate, Sequential, Time-Series","Classification, Clustering, Causal-Discovery",Real,27170754,115,2019
498,Shoulder Implant X-Ray Manufacturer Classification,Multivariate,Classification,Real,597,1,2020
499,Speaker Accent Recognition,Multivariate,Classification,Real,329,12,2020
500,Heart failure clinical records,Multivariate,"Classification, Regression, Clustering","Integer, Real",299,13,2020
501,Deepfakes: Medical Image Tamper Detection,Multivariate,Classification,Real,20000,200000,2020
502,selfBACK,Time-Series,"Classification, Clustering",Real,26136,6,2020
503,South German Credit,Multivariate,"Classification, Regression, Clustering","Integer, Real",1000,21,2019
504,Exasens,Multivariate,"Classification, Clustering",Integer,399,4,2020
505,Swarm Behaviour,Multivariate,Classification,Real,24017,2400,2020
506,Crop mapping using fused optical-radar data set,"Multivariate, Time-Series",Classification,Real,325834,175,2020
507,BitcoinHeistRansomwareAddressDataset,"Multivariate, Time-Series","Classification, Clustering","Integer, Real",2916697,10,2020
508,Facebook Large Page-Page Network,Multivariate,Classification,,22470,4714,2020
509,Amphibians,Multivariate,Classification,"Integer, Real",189,23,2020
510,Early stage diabetes risk prediction dataset.,Multivariate,Classification,,520,17,2020
511,Turkish Spam V01,Text,Classification,,826,2,2019
512,Stock keeping units,Multivariate,Clustering,"Integer, Real",2279,9,2019
513,Demand Forecasting for a store,Multivariate,Regression,Integer,28764,8,2019
514,Detect Malware Types,"Multivariate, Time-Series, Text",Classification,,7107,280,2019
515,Wave Energy Converters,Multivariate,Regression,Real,288000,49,2019
516,Youtube cookery channels viewers comments in Hinglish,"Multivariate, Text",Classification,,9800,3,2019
517,Pedestrian in Traffic Dataset,"Multivariate, Sequential, Time-Series","Classification, Regression, Causal-Discovery",Real,4760,14,2019
518,Cervical Cancer Behavior Risk,"Multivariate, Univariate","Classification, Clustering",Integer,72,19,2019
519,Sattriya_Dance_Single_Hand_Gestures Dataset,Multivariate,Classification,,1450,,2019
520,Divorce Predictors data set,"Multivariate, Univariate",Classification,Integer,170,54,2019
521,3W dataset,"Multivariate, Time-Series","Classification, Clustering","Integer, Real",1984,8,2019
522,Malware static and dynamic features VxHeaven and Virus Total,Multivariate,Classification,"Integer, Real",2955,1087,2019
523,Internet Firewall Data,Multivariate,Classification,,65532,12,2019
524,User Profiling and Abusive Language Detection Dataset,,Classification,,65919,3,2019
525,Estimation of obesity levels based on eating habits and physical condition,Multivariate,"Classification, Regression, Clustering",Integer,2111,17,2019
526,Rice (Cammeo and Osmancik),Multivariate,Classification,Real,3810,8,2019
527,Vehicle routing and scheduling problems,Multivariate,Clustering,"Integer, Real",18,9,2019
528,Algerian Forest Fires Dataset,Multivariate,"Classification, Regression",Real,244,12,2019
529,Breath Metabolomics,"Multivariate, Time-Series","Classification, Clustering",Real,104,1656,2019
530,Horton General Hospital,"Multivariate, Time-Series",Causal-Discovery,Integer,139,6,2019
531,"UrbanGB, urban road accidents coordinates labelled by the urban center",Univariate,Clustering,Real,360177,2,2019
532,Gas Turbine CO and NOx Emission Data Set,Multivariate,"Regression, Clustering",Real,36733,11,2019
533,Activity recognition using wearable physiological measurements,Multivariate,Classification,Real,4480,533,2019
534,clickstream data for online shopping,"Multivariate, Sequential","Classification, Regression, Clustering","Integer, Real",165474,14,2019
535,CNNpred: CNN-based stock market prediction using a diverse set of variables,"Sequential, Time-Series","Classification, Regression",Real,1985,84,2019
536,Apartment for rent classified,Multivariate,"Classification, Regression, Clustering",,10000,22,2019
537,: Simulated Data set of Iraqi tourism places,Multivariate,"Classification, Clustering",,232,16,2020
538,Nasarian CAD Dataset,Multivariate,Classification,,150,52,2020
539,Monolithic Columns in Troad and Mysia Region,Multivariate,Classification,Real,11,19,2020
540,Bar Crawl: Detecting Heavy Drinking,"Multivariate, Time-Series","Classification, Regression",Real,14057567,3,2020
541,Seoul Bike Sharing Demand,Multivariate,Regression,"Integer, Real",8760,14,2020
542,Person Classification Gait Data,Multivariate,Classification,Real,48,321,2020
543,Shill Bidding Dataset,Multivariate,"Classification, Clustering",,6321,13,2020
544,Iranian Churn Dataset,Multivariate,"Classification, Regression",Integer,3150,13,2020
545,Unmanned Aerial Vehicle (UAV) Intrusion Detection,Multivariate,Classification,Real,17256,55,2020
546,Bone marrow transplant: children,Multivariate,"Classification, Regression","Integer, Real",187,39,2020
547,Exasens,Multivariate,"Classification, Clustering",Integer,399,4,2020
548,COVID-19 Surveillance,Multivariate,Classification,,14,7,2020
549,Refractive errors,Multivariate,Classification,Integer,467,79,2020
550,Shoulder Implant X-Ray Manufacturer Classification,Multivariate,Classification,Real,597,1,2020
551,CLINC150,Text,Classification,,23700,,2020
552,HCV data,Multivariate,"Classification, Clustering","Integer, Real",615,14,2020
553,Taiwanese Bankruptcy Prediction,Multivariate,Classification,Integer,6819,96,2020
554,South German Credit (UPDATE),Multivariate,"Classification, Regression, Clustering","Integer, Real",1000,21,2020
555,IIWA14-R820-Gazebo-Dataset-10Trajectories,,Regression,Integer,,,2020
556,Guitar Chords finger positions,Text,Classification,,2633,5,2020
557,Russian Corpus of Biographical Texts,Text,Classification,,200,2,2020
558,Codon usage,Multivariate,"Classification, Clustering",,13028,69,2020
559,Intelligent Media Accelerometer and Gyroscope (IM-AccGyro) Dataset,Time-Series,Classification,Real,800,9,2020
560,Myocardial infarction complications,Multivariate,Classification,Real,1700,124,2020
561,Hungarian Chickenpox Cases,Time-Series,Regression,Real,521,20,2021
562,Simulated data for survival modelling,"Multivariate, Time-Series",Regression,"Integer, Real",120000,25,2018
563,Student Performance on an entrance examination,Multivariate,Classification,,666,11,2018
564,Chemical Composition of Ceramic Samples,Multivariate,"Classification, Clustering",Real,88,19,2019
565,Labeled Text Forum Threads Dataset,Text,Classification,Integer,200,9,2019
566,Stock keeping units,Multivariate,Clustering,"Integer, Real",2279,9,2019
567,BLE RSSI dataset for Indoor localization,"Sequential, Time-Series",Classification,Integer,23570,5,2019
568,Basketball dataset,Time-Series,Classification,Integer,10000,7,2019
569,GitHub MUSAE,Multivariate,Classification,,37700,4006,2019
570,Anticancer peptides,Sequential,Classification,,1850,2,2019
571,Monolithic Columns in Troad and Mysia Region,Multivariate,Classification,Real,11,19,2020
572,Gender by Name,Text,"Classification, Clustering",,147270,4,2020
573,Iranian Churn Dataset,Multivariate,"Classification, Regression",Integer,3150,13,2020
574,Unmanned Aerial Vehicle (UAV) Intrusion Detection,Multivariate,Classification,Real,17256,55,2020
575,Shoulder Implant Manufacture Classification,Multivariate,Classification,,597,1,2020
576,LastFM Asia Social Network,Multivariate,Classification,,7624,7842,2020
577,Wheat kernels,Multivariate,Classification,Real,314,15,2020
578,Productivity Prediction of Garment Employees,"Multivariate, Time-Series","Classification, Regression","Integer, Real",1197,15,2020
579,Multi-view Brain Networks,Multivariate,"Classification, Clustering",Integer,70,70,2020
580,LastFM Asia Social Network,Multivariate,Classification,,7624,7842,2020
581,Wisesight Sentiment Corpus,"Multivariate, Text",Classification,,26737,4,2020
582,AI4I 2020 Predictive Maintenance Dataset,"Multivariate, Time-Series","Classification, Regression, Causal-Discovery",Real,10000,14,2020
583,Dry Bean Dataset,Multivariate,Classification,"Integer, Real",13611,17,2020
584,in-vehicle coupon recommendation,Multivariate,Classification,,12684,23,2020
585,Gait Classification,Multivariate,Classification,Real,48,321,2020
586,Wikipedia Math Essentials,Time-Series,Regression,Real,731,1068,2021
587,Wikipedia Math Essentials,Time-Series,Regression,Real,731,1068,2021
588,Synchronous Machine Data Set,Multivariate,Regression,Real,557,5,2021
